Drug,SELFIES
DB00091,[C][C][C][C][=Branch1][C][=O][N][Branch2][N][C][C][C][=Branch1][C][=O][N][Branch2][O][Branch2][C][Branch2][#Branch2][=C][C][=Branch1][C][=O][N][C][Branch2][=Branch2][S][C][=Branch1][C][=O][N][Branch2][=Branch2][#Branch1][C][Branch2][Branch2][=N][C][=Branch1][C][=O][N][C][Branch2][Branch2][Ring1][C][=Branch1][C][=O][N][C][Branch2][#Branch1][=Branch2][C][=Branch1][C][=O][N][Branch2][=Branch1][S][C][Branch2][=Branch1][=Branch1][C][=Branch1][C][=O][N][Branch2][Branch1][=N][C][Branch2][Branch1][Ring1][C][=Branch1][C][=O][N][Branch2][Ring2][#Branch2][C][Branch2][Ring1][P][C][=Branch1][C][=O][N][Branch2][Ring1][Branch2][C][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring2][Ring2][N][C][Branch1][=Branch2][C][Branch1][C][C][C][C][=C][C][O][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C][C][C]
DB00104,[C][C][Branch2][=Branch2][C][C][C][=Branch1][C][=O][N][C][Branch2][#Branch1][=Branch2][C][S][S][C][C][Branch2][Branch1][#C][C][=Branch1][C][=O][N][C][Branch2][Ring2][=N][C][=Branch1][C][=O][N][C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch2][C][C][C][C][N][C][C][=C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][Branch1][Ring1][C][O][C][Branch1][C][C][O][O]
DB00115,[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][Branch1][C][=N][Ring1][Branch2][C][C][Branch2][O][=Branch2][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][C][C][Branch2][=Branch2][Ring2][C][Branch2][Branch2][#Branch2][C][C][Branch2][Branch2][Ring2][C][Branch2][#Branch1][#Branch1][C][Branch2][=Branch1][N][C][=Branch2][=Branch1][Ring2][=C][Branch2][Branch1][#C][C][=N][C][=Branch2][Ring2][C][=C][C][=N][C][=Branch1][O][=C][Branch1][#Branch1][C][Ring1][P][=N][Ring1][S][C][C][Branch1][Branch2][C][Ring1][=Branch2][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][=C][C][Ring2][Ring1][=Branch1][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][N-1][Ring2][Ring2][#Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][O].[C-1][#N].[Co+3]
DB00121,[C][C][C][Branch1][S][C][Branch1][Ring2][S][Ring1][Branch1][C][C][C][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][N][Ring1][#C]
DB00126,[C][Branch2][Ring1][Branch1][C][Branch1][P][C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][C][=O][O][Ring1][=Branch1][O][O][O][O]
DB00128,[C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][O]
DB00136,[C][C][Branch1][N][C][C][C][C][Branch1][C][C][Branch1][C][C][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][Branch2][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][C][Branch1][#Branch2][C][C][Branch1][Branch1][C][Ring1][=Branch1][=C][O][O][C]
DB00140,[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][N][Branch2][Ring1][C][C][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][=N][Ring1][#C][C][C][Branch1][O][C][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O][O]
DB00145,[C][Branch1][=Branch1][C][=Branch1][C][=O][O][N]
DB00146,[C][C][Branch1][N][C][C][C][C][Branch1][C][C][Branch1][C][C][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][Branch1][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][C][Branch1][#Branch1][C][C][C][Ring1][=Branch1][=C][O][C]
DB00153,[C][C][Branch1][C][C][C][Branch1][C][C][C][=C][C][Branch1][C][C][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][Branch1][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][C][Branch1][#Branch1][C][C][C][Ring1][=Branch1][=C][O][C]
DB00165,[C][C][=N][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][O][C][O]
DB00169,[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][Branch1][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][C][Branch1][#Branch1][C][C][C][Ring1][=Branch1][=C][O][C]
DB00170,[C][C][=C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O]
DB00173,[C][=N][C][=N][C][=N][C][=Branch1][#Branch1][=C][Ring1][=Branch1][N][Ring1][=Branch2][N]
DB00176,[C][O][C][C][C][C][C][=Branch1][=Branch1][=N][O][C][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F]
DB00177,[C][C][C][C][C][=Branch1][C][=O][N][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][N][N][=N][Ring1][Branch1][C][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][O]
DB00178,[C][C][O][C][=Branch1][C][=O][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][Branch2][C][=Branch1][C][=O][O]
DB00179,[C][C][Branch1][S][C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][C][Branch1][C][C][C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O]
DB00180,[C][C][Branch2][Branch1][#Branch2][O][C][C][C][C][C][C][Branch2][Ring2][#C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][S][C][Ring1][O][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][C][F][C]
DB00184,[C][N][C][C][C][C][Ring1][Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1]
DB00187,[C][C][Branch1][C][C][N][C][C][Branch2][Ring1][Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][O][C][O]
DB00188,[B][Branch2][Ring2][Branch2][C][Branch1][#Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=N][C][=C][N][=C][Ring1][=Branch1][Branch1][C][O][O]
DB00194,[C][=N][C][=Branch2][Ring1][S][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][Branch1][Branch1][C][=N][Ring1][=Branch1][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][N]
DB00195,[C][C][Branch1][C][C][N][C][C][Branch2][Ring1][=Branch1][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][O][C][C][C][C][Ring1][Ring1][O]
DB00196,[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][F][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][O]
DB00197,[C][C][=C][Branch2][Branch1][Ring2][C][=C][Branch2][Ring2][=Branch1][C][C][C][Branch1][Ring2][O][Ring1][=Branch1][Branch1][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][S][Ring1][#Branch1][C][=Branch1][=Branch1][=C][Ring2][Ring1][O][O][C][C]
DB00198,[C][C][C][Branch1][Ring1][C][C][O][C][C][=C][Branch1][#C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][O][C][C]
DB00200,[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][Branch1][C][=N][Ring1][Branch2][C][C][Branch2][O][#C][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][Branch1][C][C][C][N][C][=Branch1][C][=O][C][C][C][Branch2][=Branch2][#Branch2][C][Branch2][Branch2][S][C][C][Branch2][Branch2][#Branch2][C][Branch2][#Branch1][=N][C][Branch2][#Branch1][C][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=Branch2][=Branch1][#Branch1][=C][C][Branch2][Branch1][=Branch2][C][Branch2][Ring2][=C][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=C][C][Branch2][Ring1][=C][C][Branch2][Ring1][Ring1][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=Branch1][=Branch2][=C][Ring2][Ring1][=Branch1][N-1][Ring2][Ring1][Branch1][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][O].[O].[Co]
DB00201,[C][N][C][=N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring1][Branch2][C][C]
DB00203,[C][C][C][C][=N][N][Branch2][Ring2][S][C][=C][Ring1][Branch1][N][=C][Branch1][=Branch1][N][C][Ring1][=Branch1][=O][C][=C][Branch2][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][O][C][C][C]
DB00204,[C][N][Branch2][Ring1][=Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C]
DB00205,[C][C][C][=C][Branch1][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00208,[C][C][N][Branch1][O][C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]
DB00210,[C][O][C][=C][Branch2][Ring1][S][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][Branch2][C][=Branch1][C][=O][O][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][C][Ring1][#Branch2]
DB00213,[C][O][C][=C][Branch2][Ring2][Branch1][C][=Branch1][=Branch1][=N][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][O][C][Branch1][C][F][F][O][C]
