Drug1,Drug2,cell,drug1_db,drug2_db,synergy
5-FU,ABT-888,A2058,DB00544,DB07232,7.693530166
5-FU,ABT-888,A2780,DB00544,DB07232,7.77805306
5-FU,ABT-888,A375,DB00544,DB07232,-1.198505438
5-FU,ABT-888,CAOV3,DB00544,DB07232,-5.139971221
5-FU,ABT-888,DLD1,DB00544,DB07232,1.935127119
5-FU,ABT-888,ES2,DB00544,DB07232,1.498650452
5-FU,ABT-888,HCT116,DB00544,DB07232,9.463280869
5-FU,ABT-888,HT144,DB00544,DB07232,-3.701354746
5-FU,ABT-888,HT29,DB00544,DB07232,10.17343391
5-FU,ABT-888,KPL1,DB00544,DB07232,2.157004428
5-FU,ABT-888,LOVO,DB00544,DB07232,-8.979213946
5-FU,ABT-888,MDAMB436,DB00544,DB07232,6.899259995
5-FU,ABT-888,NCIH1650,DB00544,DB07232,-5.996370296
5-FU,ABT-888,NCIH2122,DB00544,DB07232,7.890256814
5-FU,ABT-888,NCIH23,DB00544,DB07232,-5.042652306
5-FU,ABT-888,NCIH460,DB00544,DB07232,-6.611947917
5-FU,ABT-888,NCIH520,DB00544,DB07232,3.698834848
5-FU,ABT-888,OV90,DB00544,DB07232,-10.06884761
5-FU,ABT-888,RKO,DB00544,DB07232,-2.677587786
5-FU,ABT-888,RPMI7951,DB00544,DB07232,-2.17322193
5-FU,ABT-888,SKMEL30,DB00544,DB07232,-36.45922958
5-FU,ABT-888,SKMES1,DB00544,DB07232,-0.086424579
5-FU,ABT-888,SKOV3,DB00544,DB07232,5.077177384
5-FU,ABT-888,SW620,DB00544,DB07232,0.108107719
5-FU,ABT-888,SW837,DB00544,DB07232,-14.52310863
5-FU,ABT-888,T47D,DB00544,DB07232,17.48579545
5-FU,ABT-888,UACC62,DB00544,DB07232,-1.583963783
5-FU,ABT-888,VCAP,DB00544,DB07232,1.096102762
5-FU,ABT-888,ZR751,DB00544,DB07232,-8.675317044
5-FU,BORTEZOMIB,A2058,DB00544,DB00188,-5.239878448
5-FU,BORTEZOMIB,A2780,DB00544,DB00188,-18.59912622
5-FU,BORTEZOMIB,A375,DB00544,DB00188,-2.405334783
5-FU,BORTEZOMIB,CAOV3,DB00544,DB00188,-35.27304184
5-FU,BORTEZOMIB,DLD1,DB00544,DB00188,5.228476756
5-FU,BORTEZOMIB,ES2,DB00544,DB00188,-16.13012533
5-FU,BORTEZOMIB,HCT116,DB00544,DB00188,-4.51926945
5-FU,BORTEZOMIB,HT144,DB00544,DB00188,-14.56978258
5-FU,BORTEZOMIB,HT29,DB00544,DB00188,-15.95161347
5-FU,BORTEZOMIB,KPL1,DB00544,DB00188,-2.997532726
5-FU,BORTEZOMIB,LOVO,DB00544,DB00188,-6.175982009
5-FU,BORTEZOMIB,MDAMB436,DB00544,DB00188,-2.025565761
5-FU,BORTEZOMIB,NCIH1650,DB00544,DB00188,-15.77870569
5-FU,BORTEZOMIB,NCIH2122,DB00544,DB00188,-16.69626568
5-FU,BORTEZOMIB,NCIH23,DB00544,DB00188,-9.190964586
5-FU,BORTEZOMIB,NCIH460,DB00544,DB00188,-18.99813026
5-FU,BORTEZOMIB,NCIH520,DB00544,DB00188,-24.06755091
