original_name,search_name,ChEMBL_ID,SMILES,SELFIES
BORTEZOMIB,Bortezomib,CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,[C][C][Branch1][C][C][C][C@H1][Branch2][Ring1][#C][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][N][=C][C][=N][Ring1][=Branch1][B][Branch1][C][O][O]
METFORMIN,Metformin,CHEMBL1431,CN(C)C(=N)NC(=N)N,[C][N][Branch1][C][C][C][=Branch1][C][=N][N][C][=Branch1][C][=N][N]
VINORELBINE,Vinorelbine,CHEMBL553025,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,[C][C][C][=C][C@@H1][C][N][Branch1][Ring2][C][Ring1][=Branch1][C][C][=C][Branch1][N][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C@@][Branch1][#Branch1][C][=Branch1][C][=O][O][C][Branch2][Branch1][=C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][Branch1][C][C][C@H1][C@@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@][Branch1][Ring1][C][C][C][=C][C][N][C][C][C@][Ring2][Ring1][=C][Ring2][Ring1][=Branch1][C@@H1][Ring1][Branch1][Ring1][O][C][Ring2][Branch1][Branch1]
SORAFENIB,Sorafenib,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,[C][N][C][=Branch1][C][=O][C][=C][C][Branch2][Ring2][=Branch2][O][C][=C][C][=C][Branch2][Ring1][N][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][O][C][=C][Ring2][Ring1][Branch1][=C][C][=N][Ring2][Ring1][N]
GEMCITABINE,Gemcitabine,CHEMBL3039516,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)C(F)(F)[C@@H]1O,[C][C][C][C][C][C][C][C][/C][=C][/C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C@H1][O][C@@H1][Branch1][=N][N][C][=C][C][Branch1][C][N][=N][C][Ring1][#Branch1][=O][C][Branch1][C][F][Branch1][C][F][C@@H1][Ring1][#C][O]
ERLOTINIB,Erlotinib,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,[C][#C][C][=C][C][=C][C][Branch2][Ring1][#C][N][C][=N][C][=N][C][=C][C][Branch1][=Branch1][O][C][C][O][C][=C][Branch1][=Branch1][O][C][C][O][C][C][=C][Ring2][Ring1][Ring2][Ring1][S][=C][Ring2][Ring1][O]
5-FU,Fluorouracil,CHEMBL4854670,O=c1cc(F)[nH]c(=O)[nH]1,[O][=C][C][=C][Branch1][C][F][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2]
METHOTREXATE,Methotrexate,CHEMBL2074970,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,[C][N][Branch2][Ring1][=Branch1][C][C][=C][N][=C][N][=C][Branch1][C][N][N][=C][Branch1][C][N][C][Ring1][Branch2][=N][Ring1][N][C][=C][C][=C][Branch2][Branch1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring2][#Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][#Branch1][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=C][Ring2][Ring2][Ring2]
VINBLASTINE,Vinblastine,CHEMBL22969,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,[C][C][C@][Branch1][C][O][C][C@H1][C][N][Branch2][#Branch1][#C][C][C][C][=C][Branch1][N][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C@@][Branch1][#Branch1][C][=Branch1][C][=O][O][C][Branch2][Branch1][=C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][Branch1][C][C][C@H1][C@@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@][Branch1][Ring1][C][C][C][=C][C][N][C][C][C@][Ring2][Ring1][=C][Ring2][Ring1][=Branch1][C@@H1][Ring1][Branch1][Ring1][O][C][Ring2][Branch1][Branch1][C][Ring2][Branch1][=Branch2]
ETOPOSIDE,Etoposide,CHEMBL1200645,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,[C][O][C][=C][C][Branch2][Branch1][#Branch2][C@@H1][C][=C][C][=C][Branch2][Ring2][N][C][=C][Ring1][=Branch1][C@@H1][Branch2][Ring1][#Branch1][O][C@@H1][O][C@@H1][C][O][C@@H1][Branch1][C][C][O][C@H1][Ring1][#Branch1][C@H1][Branch1][C][O][C@H1][Ring1][N][O][C@H1][C][O][C][=Branch1][C][=O][C@H1][Ring2][Ring1][N][Ring1][=Branch1][O][C][O][Ring2][Ring1][N][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring2][#Branch1][O][P][=Branch1][C][=O][Branch1][C][O][O]
